Z    N            M
8    8        -4.07
8    9        -0.67
9    8         2.45
8    10       -1.38
9    9         0.14
10   8         4.99
8    11        2.65
9    10       -2.21
10   9         1.04
11   8        13.13
8    12        2.63
9    11        0.19
10   10       -6.39
11   9         7.27
12   8        16.93
8    13        8.14
9    12       -1.06
10   11       -5.08
11   10       -1.28
12   9         9.82
13   8        27.48
8    14        9.13
9    13        2.74
10   12       -7.85
11   11       -4.87
12   10       -0.09
13   9        18.39
14   8        32.90
8    15       15.49
9    14        2.82
10   13       -4.90
11   12       -8.97
12   11       -5.01
13   10        7.54
14   9        22.86
15   8        45.21
8    16       20.24
9    15        7.59
10   14       -6.37
11   13       -7.39
12   12      -13.47
13   11        1.03
14   10       10.58
15   9        33.29
16   8        55.03
8    17       28.82
9    16       11.59
10   15       -2.21
11   14       -9.87
12   13      -12.81
13   12       -8.37
14   11        3.05
15   10       20.28
16   9        42.32
17   8        70.44
8    18       35.65
9    17       18.39
10   16        0.02
11   15       -7.22
12   14      -16.50
13   13      -12.02
14   12       -7.43
15   11       11.01
16   10       27.61
17   9        55.65
8    19       45.71
9    18       24.52
10   17        6.29
11   16       -6.01
12   15      -14.74
13   14      -16.81
14   13      -12.19
15   12       -0.43
16   11       17.30
17   10       40.24
18   9        67.44
8    20       53.47
9    19       32.66
10   18       10.51
11   17       -1.35
12   16      -15.10
13   15      -16.48
14   14      -20.78
15   13       -6.78
16   12        4.38
17   11       28.08
18   10       50.18
8    21       63.83
9    20       39.80
10   19       18.18
11   18        1.97
12   17      -11.19
13   16      -18.06
14   15      -21.54
15   14      -16.48
16   13       -3.22
17   12       14.32
18   11       37.08
19   10       65.03
20   9        96.39
8    22       71.59
9    21       48.56
10   20       23.34
11   19        7.95
12   18       -9.51
13   17      -15.62
14   16      -24.52
15   15      -20.88
16   14      -14.21
17   13        5.08
18   12       21.73
19   11       50.00
20   10       76.52
8    23       81.69
9    22       56.24
10   21       32.05
11   20       12.36
12   19       -4.16
13   18      -14.98
14   17      -22.98
15   16      -24.78
16   15      -19.54
17   14       -6.87
18   13       11.41
19   12       33.89
20   11       60.69
22   9       127.96
8    24       89.15
9    23       64.75
10   22       38.05
11   21       19.60
12   20       -1.44
13   19      -11.13
14   18      -23.78
15   17      -24.23
16   16      -26.95
17   15      -13.33
18   14       -1.90
19   13       21.88
20   12       42.93
21   11       75.63
22   10      106.16
8    25      100.74
9    24       72.31
10   23       46.68
11   22       25.26
12   21        5.50
13   20       -9.27
14   19      -20.67
15   18      -25.90
16   17      -27.16
17   16      -21.52
18   15       -9.24
19   14        7.75
20   13       30.01
21   12       57.44
22   11       88.19
8    26      107.51
9    25       82.18
10   24       52.60
11   23       32.44
12   22        9.68
13   21       -3.68
14   20      -20.27
15   19      -23.92
16   18      -29.91
17   17      -25.24
18   16      -18.42
19   15       -0.88
20   14       14.47
21   13       42.97
22   12       68.52
9    26       90.24
10   25       61.78
11   24       38.20
12   23       16.73
13   22       -0.03
14   21      -15.14
15   20      -24.31
16   19      -28.64
17   18      -29.00
18   17      -23.16
19   16      -10.81
20   15        5.02
21   14       26.87
22   13       53.47
24   11      117.12
9    27       98.49
10   26       68.19
11   25       45.94
12   24       21.04
13   23        5.70
14   22      -12.81
15   21      -20.50
16   20      -30.22
17   19      -28.77
18   18      -30.28
19   17      -16.71
20   16       -6.03
21   15       15.94
22   14       36.08
23   13       67.31
24   12       95.71
9    28      106.31
10   27       77.71
11   26       52.34
12   25       28.78
13   24        9.67
14   23       -7.37
15   22      -18.97
16   21      -27.12
