Z    N    M
2    4    17.590
2    5    26.370
2    6    31.170
2    7    41.270
2    8    49.350
2    10   74.050
2    12   96.610
3    4    14.670
3    5    21.140
3    6    25.190
3    7    33.050
3    8    40.720
3    9    52.550
3    10   60.990
3    11   71.310
3    12   80.340
3    14   1.710
4    2    18.740
4    3    15.530
4    4    5.180
4    5    10.920
4    6    12.720
4    7    20.160
4    8    25.050
4    9    35.240
4    10   40.400
4    11   50.780
4    12   58.350
4    13   69.200
4    14   76.030
4    15   87.030
4    16   95.240
4    18   18.000
5    2    28.590
5    3    23.070
5    4    11.990
5    6    8.760
5    7    13.410
5    8    16.670
5    9    23.580
5    10   28.810
5    11   37.720
5    12   43.710
5    13   52.440
5    14   58.180
5    15   66.670
5    16   74.400
5    17   85.450
5    18   95.130
6    2    35.370
6    3    29.100
6    4    15.770
6    5    10.740
6    6    -0.010
6    7    3.010
6    8    2.990
6    9    9.960
6    10   13.720
6    11   21.060
6    12   24.930
6    13   32.570
6    14   35.810
6    15   43.810
6    16   49.770
6    17   60.560
6    18   68.750
6    20   91.620
7    3    39.180
7    4    25.430
7    5    17.610
7    6    5.230
7    8    0.170
7    9    5.680
7    10   7.860
7    11   13.080
7    12   15.860
7    13   20.990
7    14   23.740
7    15   29.970
7    16   35.670
7    17   44.970
7    18   52.860
7    20   73.070
7    22   97.500
7    24   21.610
8    4    33.070
8    5    23.620
8    6    7.960
8    7    2.920
8    8    -4.760
8    9    -0.820
8    10   -0.760
8    11   3.370
8    12   3.650
8    13   8.290
8    14   9.270
8    15   15.240
8    16   19.450
8    17   28.450
8    18   34.630
8    19   44.860
8    20   52.380
8    22   74.340
8    24   96.080
8    26   18.610
9    5    33.290
9    6    17.690
9    7    11.190
9    8    1.940
9    10   -1.520
9    11   0.100
9    12   -0.110
9    13   2.760
9    14   3.490
9    15   7.970
9    16   11.880
9    17   19.160
9    18   24.400
9    19   33.100
9    20   39.910
9    21   50.910
9    22   59.440
9    23   70.390
9    24   78.960
9    26   99.100
9    27   10.140
9    28   19.070
10   4    54.420
10   5    41.760
10   6    24.690
10   7    16.610
10   8    5.240
10   9    1.720
10   10   -7.020
10   11   -5.890
10   12   -7.870
10   13   -5.250
10   14   -6.020
10   15   -1.840
10   16   0.350
10   17   6.700
10   18   10.410
10   19   18.400
10   20   23.460
10   21   33.780
10   22   40.620
10   23   51.040
10   24   57.980
10   25   68.330
10   26   75.940
10   27   86.350
10   28   93.610
10   30   14.700
10   32   37.690
10   34   61.880
11   7    25.380
11   8    12.920
11   9    6.890
11   10   -2.340
11   12   -9.470
11   13   -8.350
11   14   -9.420
11   15   -6.950
11   16   -5.700
11   17   -0.870
11   18   2.120
11   19   8.360
11   20   12.740
11   21   21.370
11   22   27.690
11   23   36.480
11   24   42.650
11   25   51.580
11   26   58.560
11   27   67.300
11   28   74.240
11   29   84.230
11   30   93.370
11   32   14.570
11   34   36.720
11   36   60.020
12   6    43.510
12   7    32.220
12   8    17.260
12   9    10.740
12   10   -0.260
12   11   -5.410
12   12   14.150
12   13   13.320
12   14   16.110
12   15   14.580
12   16   14.850
12   17   10.740
12   18   -9.500
12   19   -3.930
12   20   -1.250
12   21   6.850
12   22   11.540
12   23   19.570
12   24   24.320
12   25   32.620
12   26   37.930
12   27   46.350
12   28   51.510
12   29   61.330
12   30   68.960
12   31   79.860
12   32   88.240
12   34   8.640
12   36   30.570
12   38   54.560
13   7    41.630
13   8    26.180
13   9    17.890
13   10   6.640
13   11   -0.010
13   12   -9.040
13   14   17.110
13   15   17.110
13   16   18.090
13   17   15.740
13   18   15.170
13   19   11.290
13   20   -9.140
13   21   -2.660
13   22   1.260
13   23   7.860
13   24   11.990
13   25   18.610
13   26   23.610
13   27   30.250
13   28   35.230
13   29   43.550
13   30   50.900
13   31   60.140
13   32   68.120
13   33   78.340
13   34   86.730
13   36   7.300
13   38   30.280
13   40   53.780
13   42   77.690
14   8    31.970
14   9    23.430
14   10   10.680
14   11   3.730
14   12   -7.020
14   13   12.300
14   14   21.070
14   15   21.780
14   16   24.510
14   17   22.830
14   18   23.950
14   19   20.610
14   20   20.080
14   21   14.380
14   22   11.870
14   23   -5.890
14   24   -3.450
14   25   2.870
14   26   6.080
14   27   12.540
14   28   16.020
14   29   24.060
14   30   29.760
14   31   38.600
14   32   45.240
14   33   55.000
14   34   62.470
14   35   73.230
14   36   81.910
14   38   3.600
14   40   25.450
14   42   48.020
14   44   70.930
14   46   94.420
14   48   18.270
14   50   42.420
15   9    32.850
15   10   19.800
15   11   11.140
15   12   -0.550
15   13   -7.360
15   14   16.840
15   16   24.510
15   17   24.520
15   18   26.170
15   19   24.450
15   20   24.690
15   21   20.410
15   22   18.530
15   23   14.230
15   24   12.090
15   25   -7.560
15   26   -4.520
15   27   0.430
15   28   3.630
15   29   10.020
15   30   15.320
15   31   22.820
15   32   29.000
15   33   37.850
15   34   44.890
15   35   54.930
15   36   63.300
15   38   83.270
15   40   3.770
15   42   25.070
15   44   46.530
15   46   68.630
15   48   91.040
15   50   13.710
16   10   27.390
16   11   17.790
16   12   4.580
16   13   -2.940
16   14   14.170
16   15   19.110
16   16   26.100
16   17   26.640
16   18   29.910
16   19   28.970
16   20   30.620
16   21   26.960
16   22   26.770
16   23   22.770
16   24   22.420
16   25   18.070
16   26   16.530
16   27   11.860
16   28   10.310
16   29   -4.320
16   30   -0.360
16   31   6.680
16   32   11.950
16   33   20.360
16   34   26.690
16   35   36.430
16   36   43.820
16   37   54.390
16   38   62.140
16   39   73.000
16   40   81.300
16   42   00.800
16   44   21.140
16   46   41.730
16   48   62.410
16   50   83.840
17   12   14.270
17   13   4.990
17   14   -6.910
17   15   13.540
17   16   21.060
17   18   28.940
17   19   29.410
17   20   31.690
17   21   29.710
17   22   29.820
17   23   27.620
17   24   27.440
17   25   24.590
17   26   23.340
17   27   20.310
17   28   19.160
17   29   14.520
17   30   11.010
17   31   -4.880
17   32   -0.050
17   33   7.650
17   34   13.670
17   35   22.430
17   36   29.080
17   37   38.740
17   38   46.050
17   39   56.020
17   40   63.930
17   41   74.070
17   42   81.980
17   43   92.660
17   44   00.930
17   45   11.560
17   46   20.090
17   47   30.510
17   48   39.280
17   49   50.250
17   50   59.370
18   12   21.470
18   13   11.520
18   14   -2.070
18   15   -9.230
18   16   18.370
18   17   22.980
18   18   29.830
18   19   30.930
18   20   34.890
18   21   33.220
18   22   35.120
18   23   33.090
18   24   34.410
18   25   31.850
18   26   32.240
18   27   29.620
18   28   29.800
18   29   25.620
18   30   23.030
18   31   17.330
18   32   13.210
18   33   -5.820
18   34   -0.780
18   35   7.240
18   36   12.980
18   37   22.200
18   38   28.620
18   39   38.210
18   40   44.700
18   41   54.800
18   42   61.630
18   43   72.000
18   44   79.070
18   45   89.470
18   46   96.500
18   47   6.930
18   48   14.450
18   49   25.330
18   50   33.690
18   52   57.480
19   13   21.550
19   14   7.420
19   15   -1.360
19   16   11.280
19   17   17.300
19   18   24.780
19   20   33.340
19   21   33.460
19   22   35.530
19   23   35.000
19   24   36.610
19   25   35.690
19   26   36.490
19   27   35.200
19   28   35.850
19   29   32.580
19   30   30.420
19   31   25.430
19   32   21.620
19   33   15.210
19   34   10.910
19   35   -3.800
19   36   1.500
19   37   9.830
19   38   15.860
19   39   24.030
19   40   30.490
19   41   39.510
19   42   46.030
19   43   55.200
19   44   62.040
19   45   70.930
19   46   77.980
19   47   87.160
19   48   94.590
19   49   4.710
19   50   12.760
19   52   35.580
20   14   14.480
20   15   4.930
20   16   -6.400
20   17   13.050
20   18   22.210
20   19   26.810
20   20   34.710
20   21   35.000
20   22   38.550
20   23   38.350
20   24   41.590
20   25   41.070
20   26   43.200
20   27   42.370
20   28   43.940
20   29   41.100
20   30   39.650
20   31   34.980
20   32   32.140
20   33   26.470
20   34   23.070
20   35   16.410
20   36   12.000
20   37   -4.060
20   38   0.560
20   39   8.700
20   40   14.070
20   41   22.780
20   42   28.100
20   43   37.030
20   44   42.370
20   45   51.290
20   46   57.070
20   47   66.170
20   48   72.840
20   49   82.640
20   50   89.750
20   52   11.440
20   54   33.490
20   56   56.330
21   16   3.750
21   17   -4.580
21   18   14.050
21   19   20.440
21   20   28.510
21   21   32.100
21   22   36.250
21   23   37.820
21   24   41.010
21   25   41.840
21   26   44.430
21   27   44.520
21   28   46.520
21   29   44.380
21   30   43.250
21   31   39.550
21   32   37.460
21   33   32.690
21   34   29.750
21   35   23.970
21   36   19.950
21   37   13.420
21   38   -8.840
21   39   -1.780
21   40   3.280
21   41   10.800
21   42   15.880
21   43   23.310
21   44   28.670
21   45   36.320
21   46   42.030
21   47   50.360
21   48   56.710
21   49   65.580
21   50   72.670
21   51   83.370
21   52   93.090
21   53   3.980
21   54   13.990
21   56   35.730
21   60   82.880
21   62   6.520
21   64   29.950
22   16   10.810
22   17   2.180
22   18   -9.080
22   19   15.640
22   20   25.190
22   21   29.380
22   22   37.490
22   23   39.070
22   24   44.130
22   25   44.950
22   26   48.300
22   27   48.820
22   28   51.530
22   29   49.710
22   30   49.550
22   31   46.590
22   32   45.410
22   33   41.090
22   34   39.030
22   35   33.640
22   36   31.030
22   37   24.540
22   38   21.040
22   39   14.300
22   40   10.430
22   41   -3.160
22   42   0.430
22   43   7.890
22   44   11.980
22   45   19.550
22   46   24.490
22   47   32.510
22   48   37.930
22   49   46.770
22   50   52.740
22   51   63.290
22   52   71.930
22   53   82.750
22   54   91.760
22   56   12.550
22   58   34.950
22   60   57.570
22   62   80.000
22   64   2.130
22   66   24.370
23   17   11.510
23   18   0.080
23   19   -7.980
23   20   17.860
23   21   23.820
23   22   31.940
23   23   36.850
23   24   41.990
23   25   44.470
23   26   47.980
23   27   49.190
23   28   52.200
23   29   51.360
23   30   51.950
23   31   49.890
23   32   49.150
23   33   45.720
23   34   44.050
23   35   40.080
23   36   37.500
23   37   32.090
23   38   28.910
23   39   23.360
23   40   19.730
23   41   13.950
23   42   10.350
23   43   -4.160
23   44   -0.140
23   45   6.670
23   46   11.300
23   47   18.380
23   48   23.770
23   49   31.500
23   50   37.310
23   51   46.790
23   52   55.360
23   53   65.170
23   54   74.080
23   55   84.430
23   56   93.860
23   58   15.020
23   60   36.700
23   62   57.890
23   64   78.860
23   66   99.980
23   68   21.900
24   18   6.210
24   19   -2.140
24   20   13.650
24   21   19.560
24   22   29.550
24   23   34.540
24   24   42.840
24   25   45.310
24   26   50.220
24   27   51.510
24   28   55.480
24   29   55.300
24   30   56.790
24   31   55.190
24   32   55.340
24   33   52.290
24   34   52.030
24   35   48.090
24   36   46.600
24   37   41.510
24   38   39.510
24   39   34.210
24   40   32.070
24   41   26.280
24   42   23.930
24   43   17.820
24   44   14.570
24   45   -8.080
24   46   -4.390
24   47   2.670
24   48   6.950
24   49   14.520
24   50   19.260
24   51   28.660
24   52   36.230
24   53   45.950
24   54   54.010
24   55   64.180
24   56   72.700
24   57   83.610
24   58   92.810
24   60   13.280
24   62   33.180
24   64   53.200
24   66   73.540
24   68   94.580
24   70   15.620
24   72   36.870
24   74   58.450
24   76   79.900
24   78   1.020
24   80   22.140
25   19   6.500
25   20   -5.410
25   21   12.670
25   22   22.650
25   23   29.300
25   24   37.590
25   25   43.300
25   26   48.220
25   27   50.580
25   28   54.750
25   29   55.570
25   30   57.620
25   31   56.910
25   32   57.440
25   33   55.810
25   34   55.590
25   35   52.730
25   36   51.550
25   37   47.650
25   38   45.900
25   39   42.080
25   40   39.930
25   41   35.400
25   42   33.140
25   43   27.790
25   44   24.850
25   45   19.300
25   46   15.630
25   47   -9.690
25   48   -5.570
25   49   0.930
25   50   5.600
25   51   14.000
25   52   21.470
25   53   30.340
25   54   38.230
25   55   47.490
25   56   55.690
25   57   65.870
25   58   74.860
25   59   85.400
25   60   94.080
25   61   4.260
25   62   12.820
25   63   23.290
25   64   31.720
25   65   42.550
25   66   51.380
25   68   71.370
25   70   91.450
25   72   11.760
25   74   32.590
25   76   52.930
25   78   73.190
25   80   93.530
26   20   0.480
26   21   -7.240
26   22   17.980
26   23   24.790
26   24   34.480
26   25   40.200
26   26   48.390
26   27   50.960
26   28   56.230
26   29   57.450
26   30   60.560
26   31   60.180
26   32   62.170
26   33   60.580
26   34   61.440
26   35   58.890
26   36   58.910
26   37   55.250
26   38   54.990
26   39   51.160
26   40   50.270
26   41   45.820
26   42   44.320
26   43   39.290
26   44   37.290
26   45   31.760
26   46   29.200
26   47   23.420
26   48   20.370
26   49   13.940
26   50   10.270
26   51   -1.970
26   52   4.650
26   53   13.350
26   54   20.330
26   55   29.260
26   56   36.730
26   57   46.710
26   58   54.680
26   59   64.990
26   60   72.620
26   61   82.690
26   62   90.410
26   63   00.610
26   64   8.530
26   65   19.180
26   66   27.310
26   67   38.090
26   68   46.320
26   69   57.200
26   70   65.290
26   71   76.340
26   72   84.850
26   74   4.440
26   76   23.920
26   77   34.970
26   78   43.480
26   79   54.490
26   80   63.210
26   81   74.270
26   82   83.250
27   21   0.970
27   22   10.200
27   23   17.700
27   24   27.470
27   25   34.260
27   26   42.660
27   27   48.320
27   28   53.990
27   29   56.110
27   30   59.320
27   31   59.850
27   32   62.210
27   33   61.700
27   34   62.870
27   35   61.520
27   36   61.780
27   37   59.610
27   38   59.330
27   39   56.770
27   40   55.960
27   41   52.270
27   42   51.080
27   43   46.990
27   44   45.010
27   45   40.600
27   46   38.200
27   47   33.490
27   48   30.510
27   49   25.090
27   50   21.520
27   51   14.060
27   52   -7.610
27   53   0.180
27   54   6.830
27   55   15.040
27   56   22.300
27   57   31.260
27   58   39.010
27   59   48.270
27   60   55.780
27   61   65.010
27   62   72.450
27   63   82.140
27   64   89.890
27   65   99.840
27   66   7.610
27   67   17.780
27   68   25.670
27   69   35.770
27   70   43.690
27   71   54.160
27   72   62.510
27   73   72.740
27   74   80.990
27   75   91.260
27   76   99.600
27   77   9.990
27   78   18.390
27   79   28.900
27   80   37.550
27   81   47.820
27   82   56.940
28   22   -4.210
28   23   12.010
28   24   22.740
28   25   29.730
28   26   39.230
28   27   45.290
28   28   53.870
28   29   56.100
28   30   60.210
28   31   61.130
28   32   64.510
28   33   64.200
28   34   66.640
28   35   65.530
28   36   67.280
28   37   65.090
28   38   66.080
28   39   63.590
28   40   63.550
28   41   60.170
28   42   59.930
28   43   55.860
28   44   55.000
28   45   50.730
28   46   49.410
28   47   44.770
28   48   42.800
28   49   37.470
28   50   34.750
28   51   27.470
28   52   21.930
28   53   14.470
28   54   -8.540
28   55   -0.540
28   56   5.710
28   57   14.440
28   58   21.140
28   59   30.280
28   60   36.960
28   61   45.910
28   62   52.840
28   63   62.360
28   64   69.410
28   65   79.000
28   66   86.160
28   67   95.980
28   68   3.100
28   69   13.030
28   70   20.380
28   71   30.680
28   72   37.950
28   73   48.150
28   74   55.570
28   75   65.810
28   76   73.480
28   77   83.760
28   78   91.660
28   79   2.100
28   80   9.970
28   81   20.370
28   82   28.790
28   84   52.120
29   23   -2.440
29   24   13.830
29   25   21.820
29   26   31.720
29   27   38.680
29   28   47.370
29   29   51.890
29   30   56.390
29   31   58.330
29   32   61.980
29   33   62.800
29   34   65.590
29   35   65.390
29   36   67.150
29   37   66.230
29   38   67.300
29   39   65.580
29   40   65.840
29   41   63.410
29   42   63.190
29   43   60.230
29   44   59.520
29   45   56.330
29   46   55.090
29   47   51.450
29   48   49.570
29   49   45.090
29   50   42.540
29   51   36.170
29   52   30.960
29   53   24.220
29   54   18.500
29   55   11.510
29   56   -5.500
29   57   2.190
29   58   8.770
29   59   17.070
29   60   23.470
29   61   31.910
29   62   38.680
29   63   47.490
29   64   54.180
29   65   63.160
29   66   69.970
29   67   79.020
29   68   85.970
29   69   95.330
29   70   2.510
29   71   11.730
29   72   18.970
29   73   28.340
29   74   35.720
29   75   45.290
29   76   52.860
29   77   62.640
29   78   70.470
29   79   80.130
29   80   88.120
29   81   97.830
29   82   6.200
29   84   28.770
30   24   -6.230
30   25   14.780
30   26   25.740
30   27   32.800
30   28   42.390
30   29   47.300
30   30   54.160
30   31   56.360
30   32   61.140
30   33   62.180
30   34   66.030
30   35   65.840
30   36   68.940
30   37   68.030
30   38   69.860
30   39   68.450
30   40   69.660
30   41   67.240
30   42   68.140
30   43   65.330
30   44   65.700
30   45   62.590
30   46   62.340
30   47   58.800
30   48   57.770
30   49   53.470
30   50   51.820
30   51   45.780
30   52   41.300
30   53   34.760
30   54   30.050
30   55   23.300
30   56   18.330
30   57   10.760
30   58   -5.020
30   59   3.000
30   60   8.900
30   61   17.170
30   62   23.220
30   63   31.680
30   64   37.760
30   65   46.390
30   66   52.440
30   67   61.310
30   68   67.690
30   69   76.880
30   70   82.970
30   71   92.170
30   72   98.580
30   73   7.910
30   74   14.630
30   75   24.100
30   76   31.160
30   77   40.870
30   78   47.920
30   79   57.700
30   80   65.010
30   81   74.670
30   82   82.370
30   84   4.250
30   86   26.470
30   88   49.350
31   25   -4.850
31   26   16.140
31   27   24.110
31   28   34.090
31   29   40.020
31   30   47.140
31   31   51.740
31   32   56.730
31   33   58.850
31   34   62.700
31   35   63.740
31   36   66.880
31   37   67.090
31   38   69.300
31   39   68.800
31   40   70.030
31   41   68.740
31   42   69.780
31   43   68.060
31   44   68.500
31   45   66.380
31   46   66.230
31   47   63.540
31   48   62.690
31   49   59.290
31   50   57.980
31   51   52.660
31   52   48.380
31   53   42.860
31   54   38.380
31   55   32.680
31   56   27.820
31   57   21.100
31   58   15.630
31   59   -8.110
31   60   -2.390
31   61   5.170
31   62   10.880
31   63   18.720
31   64   24.450
31   65   32.320
31   66   38.190
31   67   46.490
31   68   52.700
31   69   60.810
31   70   66.880
31   71   75.240
31   72   81.610
31   73   90.280
31   74   96.890
31   75   5.860
31   76   12.850
31   77   21.780
31   78   28.950
31   79   38.050
31   80   45.300
31   81   54.290
31   82   61.900
31   84   83.080
31   86   4.620
31   88   26.770
32   26   -8.690
32   27   17.030
32   28   28.030
32   29   34.230
32   30   42.480
32   31   47.290
32   32   54.360
32   33   56.470
32   34   61.560
32   35   62.650
32   36   66.990
32   37   67.050
32   38   70.580
32   39   69.980
32   40   72.430
32   41   71.290
32   42   73.410
32   43   71.760
32   44   73.200
32   45   71.180
32   46   71.880
32   47   69.360
32   48   69.420
32   49   66.350
32   50   65.760
32   51   60.650
32   52   57.380
32   53   52.090
32   54   48.670
32   55   43.070
32   56   39.070
32   57   32.610
32   58   27.650
32   59   20.310
32   60   15.290
32   61   -8.080
32   62   -2.990
32   63   4.510
32   64   9.470
32   65   17.160
32   66   22.450
32   67   30.590
32   68   35.720
32   69   43.800
32   70   49.030
32   71   57.370
32   72   63.070
32   73   71.630
32   74   77.750
32   75   86.630
32   76   92.850
32   77   1.900
32   78   8.390
32   79   17.430
32   80   24.010
32   81   32.910
32   82   39.930
32   84   60.320
32   86   81.220
32   88   2.590
33   27   -6.860
33   28   18.060
33   29   25.390
33   30   33.860
33   31   39.750
33   32   46.810
33   33   51.410
33   34   56.540
33   35   58.830
33   36   63.030
33   37   64.410
33   38   67.820
33   39   68.380
33   40   70.940
33   41   70.880
33   42   73.070
33   43   72.420
33   44   73.960
33   45   72.790
33   46   73.660
33   47   72.050
33   48   72.430
33   49   70.090
33   50   69.710
33   51   65.610
33   52   62.570
33   53   58.340
33   54   55.030
33   55   50.280
33   56   46.540
33   57   40.590
33   58   35.810
33   59   29.170
33   60   24.510
33   61   17.910
33   62   13.170
33   63   -6.440
33   64   -1.650
33   65   5.470
33   66   10.600
33   67   17.650
33   68   22.750
33   69   30.000
33   70   35.200
33   71   42.860
33   72   48.460
33   73   56.530
33   74   62.570
33   75   70.670
33   76   77.010
33   77   85.380
33   78   91.810
33   79   00.180
33   80   6.680
33   81   14.980
33   82   21.890
33   83   32.330
33   84   41.600
33   85   52.250
33   86   61.770
33   87   72.740
33   88   82.370
34   28   10.630
34   29   18.310
34   30   27.840
34   31   33.730
34   32   42.030
34   33   46.670
34   34   54.280
34   35   56.420
34   36   61.940
34   37   63.200
34   38   67.770
34   39   68.330
34   40   72.050
34   41   72.190
34   42   75.270
34   43   74.590
34   44   76.980
34   45   75.980
34   46   77.760
34   47   76.480
34   48   77.590
34   49   75.450
34   50   76.080
34   51   72.210
34   52   70.230
34   53   66.110
34   54   63.640
34   55   59.160
34   56   55.930
34   57   50.160
34   58   46.080
34   59   39.790
34   60   35.750
34   61   29.500
34   62   25.520
34   63   18.960
34   64   14.750
34   65   -7.800
34   66   -3.750
34   67   3.270
34   68   7.540
34   69   14.760
34   70   19.290
34   71   26.850
34   72   31.950
34   73   39.940
34   74   45.190
34   75   53.430
34   76   59.080
34   77   67.400
34   78   73.160
34   79   81.440
34   80   87.340
34   81   95.530
34   82   1.760
34   83   12.200
34   84   20.830
34   85   31.400
34   86   40.230
34   87   51.100
34   88   59.980
34   90   80.080
34   92   00.550
34   94   21.780
34   96   44.070
34   98   67.370
35   30   17.560
35   31   24.680
35   32   33.030
35   33   38.870
35   34   46.330
35   35   51.140
35   36   56.530
35   37   58.950
35   38   63.510
35   39   65.230
35   40   69.110
35   41   70.290
35   42   73.190
35   43   73.550
35   44   76.060
35   45   75.980
35   46   78.080
35   47   77.530
35   48   78.840
35   49   77.710
35   50   78.580
35   51   75.760
35   52   73.890
35   53   70.610
35   54   68.410
35   55   64.440
35   56   61.390
35   57   56.320
35   58   52.600
35   59   46.920
35   60   43.220
35   61   37.740
35   62   33.940
35   63   27.960
35   64   23.910
35   65   18.040
35   66   14.020
35   67   -7.830
35   68   -3.590
35   69   2.950
35   70   7.380
35   71   14.440
35   72   19.470
35   73   26.670
35   74   32.060
35   75   39.610
35   76   45.200
35   77   52.850
35   78   58.520
35   79   66.210
35   80   72.000
35   81   79.510
35   82   85.740
35   83   95.540
35   84   4.080
35   85   13.960
35   86   22.700
35   87   32.820
35   88   41.610
35   89   52.180
35   90   61.080
35   91   71.670
35   92   80.880
35   93   91.790
35   94   1.550
35   96   23.310
35   98   46.120
36   30   10.360
36   31   17.520
36   32   27.070
36   33   32.770
36   34   41.550
36   35   46.230
36   36   54.230
36   37   56.640
36   38   62.370
36   39   64.240
36   40   69.170
36   41   70.160
36   42   74.060
36   43   74.410
36   44   77.820
36   45   77.640
36   46   80.430
36   47   80.070
36   48   82.400
36   49   81.510
36   50   83.420
36   51   80.710
36   52   79.690
36   53   76.680
36   54   74.990
36   55   71.190
36   56   68.850
36   57   64.130
36   58   61.020
36   59   55.690
36   60   52.760
36   61   47.450
36   62   44.230
36   63   38.410
36   64   35.450
36   65   29.600
36   66   26.420
36   67   20.260
36   68   16.690
36   69   10.250
36   70   -6.320
36   71   0.660
36   72   4.910
36   73   12.240
36   74   16.940
36   75   24.430
36   76   29.360
36   77   36.920
36   78   42.000
36   79   49.570
36   80   54.680
36   81   62.190
36   82   67.790
36   83   77.500
36   84   85.350
36   85   95.140
36   86   3.120
36   87   13.160
36   88   21.400
36   89   31.880
36   90   40.220
36   91   50.710
36   92   59.470
36   93   70.260
36   94   79.620
36   96   00.760
36   98   23.150
37   33   23.630
37   34   32.290
37   35   38.130
37   36   46.120
37   37   51.430
37   38   57.310
37   39   60.230
37   40   64.970
37   41   66.960
37   42   70.850
37   43   72.070
37   44   75.460
37   45   76.290
37   46   79.110
37   47   79.710
37   48   82.270
37   49   82.420
37   50   84.450
37   51   82.590
37   52   81.840
37   53   79.340
37   54   77.820
37   55   74.730
37   56   72.730
37   57   68.640
37   58   65.870
37   59   61.310
37   60   58.550
37   61   53.820
37   62   50.760
37   63   46.030
37   64   43.090
37   65   38.080
37   66   34.920
37   67   29.430
37   68   25.970
37   69   20.030
37   70   16.170
37   71   -9.970
37   72   -5.600
37   73   1.050
37   74   5.690
37   75   12.520
37   76   17.350
37   77   24.320
37   78   29.280
37   79   36.180
37   80   41.290
37   81   48.170
37   82   53.660
37   83   62.690
37   84   70.450
37   85   79.480
37   86   87.390
37   87   96.870
37   88   5.030
37   89   14.950
37   90   23.190
37   91   33.220
37   92   41.870
37   93   52.270
37   94   61.490
37   95   72.350
37   96   82.130
37   98   3.880
38   32   -9.400
38   33   16.300
38   34   26.120
38   35   31.950
38   36   41.110
38   37   46.570
38   38   55.140
38   39   57.870
38   40   63.610
38   41   65.590
38   42   70.350
38   43   71.550
38   44   75.950
38   45   76.690
38   46   80.590
38   47   80.960
38   48   84.460
38   49   84.980
38   50   87.850
38   51   86.260
38   52   86.010
38   53   83.680
38   54   82.870
38   55   80.140
38   56   78.760
38   57   75.000
38   58   73.010
38   59   68.620
38   60   66.440
38   61   61.870
38   62   59.890
38   63   55.180
38   64   53.080
38   65   48.100
38   66   45.620
38   67   40.230
38   68   37.270
38   69   31.400
38   70   28.330
38   71   22.000
38   72   18.310
38   73   11.720
38   74   -7.750
38   75   -1.010
38   76   3.230
38   77   10.080
38   78   14.370
38   79   21.270
38   80   25.740
38   81   32.520
38   82   37.340
38   83   46.270
38   84   53.280
38   85   62.230
38   86   69.580
38   87   78.980
38   88   86.580
38   89   96.400
38   90   4.180
38   91   14.100
38   92   22.350
38   93   32.610
38   94   41.340
38   95   52.200
38   96   61.570
38   98   82.840
38   100  5.530
39   35   22.670
39   36   31.980
39   37   38.490
39   38   46.870
39   39   52.670
39   40   58.400
39   41   61.250
39   42   65.990
39   43   68.200
39   44   72.510
39   45   74.340
39   46   77.940
39   47   79.340
39   48   82.960
39   49   84.290
39   50   87.560
39   51   86.480
39   52   86.400
39   53   84.790
39   54   84.330
39   55   82.210
39   56   81.170
39   57   78.190
39   58   76.360
39   59   72.550
39   60   70.530
39   61   67.050
39   62   65.100
39   63   61.230
39   64   59.150
39   65   54.840
39   66   52.460
39   67   47.580
39   68   44.690
39   69   39.600
39   70   36.400
39   71   30.760
39   72   27.130
39   73   21.210
39   74   17.320
39   75   11.180
39   76   -7.050
39   77   -0.880
39   78   3.410
39   79   9.670
39   80   14.050
39   81   20.150
39   82   24.870
39   83   33.050
39   84   39.980
39   85   48.370
39   86   55.640
39   87   64.480
39   88   71.980
39   89   81.340
