Z    N    M
8    9    -0.810
8    10   -0.780
8    11   3.410
8    12   3.210
8    13   8.440
8    14   9.660
8    15   16.410
8    16   20.830
8    17   29.810
8    18   36.140
8    19   46.650
8    20   54.810
9    8    2.050
9    10   -1.570
9    11   0.200
9    12   -0.480
9    13   3.000
9    14   3.770
9    15   8.840
9    16   13.060
9    17   20.290
9    18   25.610
9    19   34.370
9    20   41.980
10   8    5.440
10   9    1.780
10   10   -6.690
10   11   -5.670
10   12   -8.330
10   13   -5.470
10   14   -6.510
10   15   -1.740
10   16   0.690
10   17   6.910
10   18   10.500
10   19   18.770
10   20   24.380
10   21   35.000
10   22   40.940
10   23   49.990
10   24   55.040
10   25   63.410
10   26   68.590
10   27   76.820
10   28   81.650
11   8    13.270
11   9    7.170
11   10   -2.070
11   12   -9.340
11   13   -8.440
11   14   -9.870
11   15   -6.950
11   16   -5.580
11   17   -1.090
11   18   2.050
11   19   8.380
11   20   13.260
11   21   21.620
11   22   26.690
11   23   34.170
11   24   39.090
11   25   46.420
11   26   51.500
11   27   58.770
11   28   63.630
11   29   72.760
11   30   80.810
11   31   90.810
12   8    17.190
12   9    10.570
12   10   -0.650
12   11   -5.290
12   12   -13.360
12   13   -12.970
12   14   -16.350
12   15   -14.530
12   16   -14.900
12   17   -10.850
12   18   -9.620
12   19   -3.950
12   20   -0.830
12   21   6.540
12   22   9.940
12   23   17.180
12   24   20.960
12   25   28.100
12   26   32.120
12   27   39.340
12   28   43.140
12   29   52.330
12   30   59.180
12   31   69.020
12   32   75.740
12   33   85.960
12   34   93.100
13   8    26.790
13   9    18.390
13   10   6.510
13   11   -0.090
13   12   -8.680
13   14   -17.270
13   15   -17.230
13   16   -18.050
13   17   -15.880
13   18   -15.250
13   19   -11.270
13   20   -8.930
13   21   -3.320
13   22   -0.250
13   23   5.760
13   24   9.250
13   25   15.240
13   26   19.120
13   27   25.200
13   28   29.050
13   29   37.010
13   30   43.670
13   31   51.850
13   32   58.540
13   33   67.490
13   34   74.480
13   35   84.330
13   36   91.910
14   8    32.830
14   9    23.940
14   10   10.230
14   11   3.220
14   12   -7.330
14   13   -12.550
14   14   -21.250
14   15   -21.670
14   16   -24.360
14   17   -22.760
14   18   -23.770
14   19   -20.480
14   20   -19.910
14   21   -14.710
14   22   -12.950
14   23   -7.310
14   24   -5.040
14   25   0.730
14   26   3.390
14   27   9.440
14   28   12.080
14   29   19.820
14   30   24.790
14   31   32.920
14   32   38.310
14   33   47.080
14   34   53.270
14   35   62.780
14   36   69.560
14   37   79.970
14   38   87.320
14   39   98.120
15   8    44.630
15   9    34.040
15   10   20.020
15   11   11.120
15   12   -0.540
15   13   -7.550
15   14   -16.720
15   16   -24.530
15   17   -24.520
15   18   -26.150
15   19   -24.540
15   20   -24.490
15   21   -20.660
15   22   -19.350
15   23   -15.010
15   24   -13.040
15   25   -8.560
15   26   -5.990
15   27   -1.230
15   28   1.240
15   29   7.260
15   30   12.150
15   31   18.960
15   32   24.150
15   33   32.110
15   34   37.940
15   35   46.630
15   36   53.360
15   37   62.710
15   38   69.830
15   39   79.730
15   40   87.760
15   41   98.560
15   42   107.450
16   8    54.540
16   9    43.720
16   10   27.880
16   11   17.920
16   12   4.490
16   13   -2.980
16   14   -14.030
16   15   -19.170
16   16   -26.230
16   17   -26.780
16   18   -30.000
16   19   -28.810
16   20   -30.300
16   21   -26.990
16   22   -27.040
16   23   -23.050
16   24   -22.430
16   25   -18.120
16   26   -16.910
16   27   -12.380
16   28   -11.560
16   29   -5.640
16   30   -2.090
16   31   4.500
16   32   8.860
16   33   16.440
16   34   21.430
16   35   30.060
16   36   35.720
16   37   44.810
16   38   51.020
16   39   60.630
16   40   67.780
16   41   78.510
16   42   86.260
16   43   97.240
16   44   105.270
16   45   116.690
17   10   39.770
17   11   28.070
17   12   14.180
17   13   4.810
17   14   -6.820
17   15   -13.550
17   16   -21.180
17   18   -29.110
17   19   -29.350
17   20   -31.490
17   21   -29.590
17   22   -30.050
17   23   -27.480
17   24   -27.080
17   25   -24.180
17   26   -23.270
17   27   -20.450
17   28   -19.640
17   29   -15.080
17   30   -11.770
17   31   -6.030
17   32   -2.070
17   33   4.660
17   34   9.580
17   35   17.120
17   36   22.510
17   37   30.680
17   38   36.600
17   39   45.320
17   40   52.390
17   41   61.970
17   42   69.440
17   43   79.360
17   44   87.130
17   45   97.480
17   46   105.990
17   47   116.910
18   10   49.460
18   11   37.280
18   12   21.470
18   13   11.470
18   14   -1.810
18   15   -9.180
18   16   -18.410
18   17   -23.120
18   18   -30.360
18   19   -31.130
18   20   -34.750
18   21   -33.300
18   22   -35.230
18   23   -32.930
18   24   -34.000
18   25   -31.450
18   26   -32.300
18   27   -29.550
18   28   -30.000
18   29   -25.700
18   30   -23.250
18   31   -17.920
18   32   -14.820
18   33   -8.190
18   34   -4.370
18   35   2.900
18   36   7.350
18   37   15.220
18   38   20.240
18   39   28.870
18   40   34.790
18   41   44.080
18   42   50.480
18   43   60.140
18   44   66.840
18   45   77.080
18   46   84.440
18   47   95.540
18   48   103.710
18   49   115.480
19   12   33.430
19   13   21.720
19   14   7.720
19   15   -1.340
19   16   -11.000
19   17   -17.160
19   18   -24.930
19   20   -33.500
19   21   -33.550
19   22   -35.790
19   23   -35.000
19   24   -36.470
19   25   -35.720
19   26   -36.700
19   27   -35.260
19   28   -35.870
19   29   -32.440
19   30   -30.420
19   31   -25.970
19   32   -22.970
19   33   -17.440
19   34   -13.910
19   35   -7.590
19   36   -3.440
19   37   3.520
19   38   8.440
19   39   15.910
19   40   21.540
19   41   29.760
19   42   35.890
19   43   44.470
19   44   51.070
19   45   60.160
19   46   67.690
19   47   77.600
19   48   85.900
19   49   96.820
20   12   43.230
20   13   30.720
20   14   14.940
20   15   5.330
20   16   -5.900
20   17   -12.710
20   18   -21.980
20   19   -26.930
20   20   -34.760
20   21   -35.160
20   22   -38.940
20   23   -38.580
20   24   -41.900
20   25   -41.320
20   26   -43.660
20   27   -42.420
20   28   -43.800
20   29   -40.810
20   30   -39.670
20   31   -35.330
20   32   -33.450
20   33   -28.220
20   34   -25.640
20   35   -19.630
20   36   -16.400
20   37   -9.540
20   38   -5.790
20   39   1.390
20   40   5.930
20   41   13.890
20   42   18.940
20   43   27.420
20   44   32.860
20   45   42.120
20   46   48.470
20   47   58.500
20   48   65.960
20   49   76.930
20   50   85.400
21   13   42.990
21   14   26.780
21   15   15.770
21   16   4.010
21   17   -4.240
21   18   -13.980
21   19   -20.460
21   20   -28.660
21   21   -32.680
21   22   -36.410
21   23   -37.610
21   24   -40.980
21   25   -41.820
21   26   -44.580
21   27   -44.520
21   28   -46.120
21   29   -44.140
21   30   -43.170
21   31   -39.940
21   32   -38.300
21   33   -33.920
21   34   -31.530
21   35   -26.280
21   36   -23.000
21   37   -17.150
21   38   -13.550
21   39   -7.330
21   40   -2.950
21   41   3.990
21   42   8.980
21   43   16.280
21   44   21.830
21   45   29.800
21   46   36.090
21   47   45.040
21   48   52.240
21   49   61.910
21   50   70.140
21   51   81.190
21   52   91.620
21   53   104.270
22   13   53.130
22   14   35.570
22   15   24.080
22   16   10.940
22   17   2.260
22   18   -8.960
22   19   -15.780
22   20   -25.560
22   21   -29.540
22   22   -37.370
22   23   -38.640
22   24   -43.450
22   25   -44.720
22   26   -48.650
22   27   -48.790
22   28   -51.220
22   29   -49.490
22   30   -49.710
22   31   -46.780
22   32   -46.050
22   33   -41.920
22   34   -40.340
22   35   -35.100
22   36   -32.860
22   37   -27.200
22   38   -24.570
22   39   -18.530
22   40   -15.170
22   41   -8.300
22   42   -4.480
22   43   2.950
22   44   7.220
22   45   15.150
22   46   20.390
22   47   29.120
22   48   35.050
22   49   44.530
22   50   51.450
23   15   35.670
23   16   22.150
23   17   12.020
23   18   0.500
23   19   -7.860
23   20   -18.090
23   21   -23.660
23   22   -31.570
23   23   -36.590
23   24   -41.840
23   25   -44.290
23   26   -48.420
23   27   -49.400
23   28   -51.910
23   29   -51.440
23   30   -52.010
23   31   -50.060
23   32   -49.630
23   33   -46.360
23   34   -44.830
23   35   -40.670
23   36   -38.650
23   37   -33.980
23   38   -31.560
23   39   -26.550
23   40   -23.270
23   41   -17.570
23   42   -13.630
23   43   -7.470
23   44   -3.220
23   45   3.680
23   46   8.720
23   47   16.210
23   48   21.990
23   49   30.200
23   50   36.860
23   51   46.420
23   52   55.320
24   15   45.320
24   16   30.390
24   17   20.010
24   18   6.980
24   19   -1.800
24   20   -13.920
24   21   -19.550
24   22   -28.920
24   23   -34.390
24   24   -42.910
24   25   -45.590
24   26   -50.570
24   27   -51.630
24   28   -55.280
24   29   -55.220
24   30   -56.830
24   31   -55.230
24   32   -55.710
24   33   -52.520
24   34   -52.110
24   35   -48.190
24   36   -47.200
24   37   -42.760
24   38   -41.390
24   39   -36.470
24   40   -34.370
24   41   -28.550
24   42   -25.880
24   43   -19.730
24   44   -16.500
24   45   -9.790
24   46   -5.950
24   47   1.410
24   48   5.960
24   49   13.940
24   50   19.370
24   51   28.740
24   52   36.540
24   53   47.730
24   54   57.540
25   16   42.580
25   17   30.740
25   18   17.320
25   19   6.690
25   20   -5.630
25   21   -12.690
25   22   -22.490
25   23   -29.160
25   24   -37.910
25   25   -43.340
25   26   -48.410
25   27   -50.620
25   28   -54.650
25   29   -55.680
25   30   -57.690
25   31   -57.040
25   32   -57.630
25   33   -55.590
25   34   -55.460
25   35   -52.590
25   36   -51.840
25   37   -48.480
25   38   -47.210
25   39   -43.480
25   40   -41.270
25   41   -36.720
25   42   -34.050
25   43   -28.920
25   44   -25.860
25   45   -20.340
25   46   -16.600
25   47   -10.440
25   48   -6.090
25   49   0.710
25   50   5.960
25   51   14.280
25   52   22.110
25   53   32.430
25   54   42.090
25   55   53.770
25   56   63.940
26   16   52.070
26   17   39.880
26   18   24.660
26   19   13.860
26   20   0.140
26   21   -7.350
26   22   -18.320
26   23   -25.200
26   24   -34.810
26   25   -40.340
26   26   -48.310
26   27   -50.900
26   28   -56.050
26   29   -57.530
26   30   -60.530
26   31   -60.030
26   32   -61.820
26   33   -60.090
26   34   -61.030
26   35   -58.430
26   36   -58.770
26   37   -55.520
26   38   -55.450
26   39   -51.610
26   40   -50.670
26   41   -46.130
26   42   -44.470
26   43   -39.490
26   44   -37.610
26   45   -32.170
26   46   -29.610
26   47   -23.610
26   48   -20.400
26   49   -13.750
26   50   -9.500
26   51   -1.120
26   52   5.890
26   53   16.110
26   54   24.090
26   55   34.780
26   56   43.270
26   57   54.710
26   58   64.030
27   17   51.170
27   18   35.820
27   19   23.660
27   20   9.690
27   21   1.050
27   22   -10.120
27   23   -17.840
27   24   -27.540
27   25   -34.240
27   26   -42.600
27   27   -47.890
27   28   -53.610
27   29   -56.130
27   30   -59.330
27   31   -60.060
27   32   -62.180
27   33   -61.560
27   34   -62.790
27   35   -61.300
27   36   -61.770
27   37   -59.730
27   38   -59.550
27   39   -56.990
27   40   -56.050
27   41   -52.500
27   42   -50.990
27   43   -47.170
27   44   -45.350
27   45   -41.060
27   46   -38.640
27   47   -33.750
27   48   -30.650
27   49   -24.950
27   50   -20.570
27   51   -12.980
27   52   -6.030
27   53   2.560
27   54   9.600
27   55   18.670
27   56   26.160
27   57   35.860
27   58   44.280
27   59   54.840
28   18   44.170
28   19   31.800
28   20   17.010
28   21   8.180
28   22   -3.810
28   23   -11.610
28   24   -22.470
28   25   -29.560
28   26   -39.050
28   27   -44.920
28   28   -53.330
28   29   -56.090
28   30   -60.560
28   31   -61.670
28   32   -64.930
28   33   -64.610
28   34   -66.970
28   35   -65.630
28   36   -67.330
28   37   -65.190
28   38   -66.290
28   39   -63.720
28   40   -63.770
28   41   -60.360
28   42   -59.990
28   43   -56.210
28   44   -55.520
28   45   -51.330
28   46   -49.990
28   47   -45.170
28   48   -42.990
28   49   -37.130
28   50   -33.430
28   51   -25.850
28   52   -20.500
28   53   -12.810
28   54   -7.340
28   55   0.780
28   56   6.590
28   57   15.440
28   58   22.140
28   59   32.020
28   60   39.840
28   61   51.120
29   19   43.870
29   20   28.650
29   21   18.780
29   22   6.550
29   23   -2.490
29   24   -13.750
29   25   -21.900
29   26   -31.810
29   27   -38.700
29   28   -47.330
29   29   -51.930
29   30   -56.480
29   31   -58.580
29   32   -62.110
29   33   -62.950
29   34   -65.520
29   35   -65.450
29   36   -67.090
29   37   -66.240
29   38   -67.330
29   39   -65.710
29   40   -65.810
29   41   -63.440
29   42   -63.010
